#TYPE System.Management.Automation.PSCustomObject
"Article","LineNumber","Term","Line"
"\platform\powerbi.md","65","log analytics","1. Click on the workspace where you uploaded your report and select the **Datasets** menu. Select the context menu next to your new dataset and select **Settings**. Under **Data source credentials** you should have a message that the credentials are invalid.  This is because you haven't provided credentials yet for the dataset to use when it refreshes its data.  Click **Edit credentials** and specify credentials with access to Log Analytics."
"\platform\powerbi.md","77","log analytics","* Learn more about [Power BI](https://powerbi.microsoft.com) to build visualizations based on Log Analytics exports."
"\platform\powershell-samples.md","2","log analytics","title: Azure Log Analytics PowerShell Samples | Microsoft Docs"
"\platform\powershell-samples.md","3","log analytics","description: Azure Log Analytics PowerShell Samples"
"\platform\powershell-samples.md","20","log analytics","# Azure Log Analytics PowerShell samples"
"\platform\powershell-samples.md","22","log analytics","The following table includes links to PowerShell scripts samples to perform various functions in Log Analytics."
"\platform\powershell-samples.md","27","log analytics","| [Create a Log Analytics workspace](../scripts/powershell-sample-create-workspace.md) | Creates a workspace in Log Analytics.|"
"\platform\powershell-workspace-configuration.md","2","log analytics","title: Use PowerShell to Create and Configure a Log Analytics Workspace | Microsoft Docs"
"\platform\powershell-workspace-configuration.md","3","log analytics","description: Log Analytics uses data from servers in your on-premises or cloud infrastructure. You can collect machine data from Azure storage when generated by Azure diagnostics."
"\platform\powershell-workspace-configuration.md","19","log analytics","# Manage Log Analytics using PowerShell"
"\platform\powershell-workspace-configuration.md","20","log analytics","You can use the [Log Analytics PowerShell cmdlets](https://docs.microsoft.com/powershell/module/azurerm.operationalinsights/) to perform various functions in Log Analytics from a command line or as part of a script.  Examples of the tasks you can perform with PowerShell include:"
"\platform\powershell-workspace-configuration.md","31","log analytics","* Add the log analytics agent to an Azure virtual machine"
"\platform\powershell-workspace-configuration.md","32","log analytics","* Configure log analytics to index data collected using Azure diagnostics"
"\platform\powershell-workspace-configuration.md","34","log analytics","This article provides two code samples that illustrate some of the functions that you can perform from PowerShell.  You can refer to the [Log Analytics PowerShell cmdlet reference](https://docs.microsoft.com/powershell/module/azurerm.operationalinsights/) for other functions."
